Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Guyana,0.816997143,0.733075751,0.623569671,0.563103215,0.673750722,0.663206431,0.625966643,0.607533229,0.636373589,0.617368536,0.586820939,0.556312341,0.536536996,0.525186348,0.523593188,0.45722727,0.379066992,0.417452437,0.400607533,0.385745274,0.402163952,0.388049894,0.404826852,0.367753911,0.360720376
Haiti,0.102944749,0.09809992,0.092355108,0.069622204,0.035073619,0.093777995,0.101371064,0.128338882,0.111880451,0.116006481,0.115590081,0.131157177,0.150610538,0.139932558,0.161843446,0.160998378,0.155532031,0.165901496,0.16186917,0.147499538,0.14456218,0.13997593,0.139227374,0.136469025,0.154899224
Honduras,0.251351976,0.261792411,0.275072672,0.233670941,0.267380398,0.286735062,0.282155898,0.278438707,0.29720508,0.300965474,0.291142889,0.314940173,0.318572462,0.33248134,0.331681623,0.311009721,0.262782232,0.301904968,0.280679932,0.259182047,0.250202485,0.265004239,0.250525883,0.241669658,0.240478578
Hong Kong SAR  China,0.273739225,0.262465086,0.279134751,0.271261792,0.224098118,0.215687977,0.188007815,0.185396111,0.248066628,0.260615417,0.2241497,0.204725471,0.207025456,0.215743091,0.18591666,0.17660517,0.153528441,0.145992449,0.141046332,0.137537223,0.122892925,0.123649014,0.11828506,0.116851724,0.114618151
Hungary,,0.772313703,0.706559845,0.711698447,0.643718298,0.636912679,0.644402299,0.602378969,0.553494284,0.527190198,0.460288717,0.422710631,0.379319481,0.376887621,0.349936269,0.336724324,0.311411204,0.292822962,0.264209379,0.234367968,0.233217672,0.210054543,0.194597594,0.174118547,0.167157975
Iceland,0.356737958,0.305863606,0.318479789,0.333696932,0.320605465,0.30392512,0.331767277,0.28848796,0.267261707,0.252551528,0.258957903,0.232050075,0.232143091,0.229478975,0.215784877,0.201798,0.193600662,0.18014555,0.154149009,0.153858405,0.155861563,0.144646277,0.133901303,0.132863938,0.132553243
India,0.573313889,0.583357702,0.57431409,0.554431174,0.537806449,0.519657967,0.515864209,0.506914182,0.481612724,0.463916386,0.452824357,0.426523292,0.409586586,0.388847248,0.36831573,0.350532189,0.335756566,0.327908297,0.347658578,0.354606412,0.319546795,0.318534264,0.324807226,0.302459577,0.304021148
Indonesia,0.274640915,0.298596335,0.308976122,0.305832779,0.282026581,0.259319421,0.265958126,0.274723511,0.240378831,0.265597263,0.269534773,0.284897534,0.279151217,0.27013212,0.266928703,0.248082953,0.230328122,0.229514107,0.235557481,0.239443364,0.214008222,0.277992164,0.271487864,0.194495925,0.172123444
Iran  Islamic Rep.,0.506316962,0.470861003,0.449779881,0.451493554,0.501848046,0.494544281,0.467036766,0.445719133,0.494179796,0.598608045,0.538501919,0.55967602,0.517925098,0.487048133,0.485458639,0.478459722,0.480531072,0.441154807,0.450155755,0.452662095,0.437236155,0.428918719,0.472221923,0.471075722,0.463164552
Iraq,0.365152207,0.940193228,0.897869833,0.7215838,0.765866552,0.765604041,0.633048339,0.504500394,0.391940234,0.328189023,0.317267127,0.357484543,0.386495351,0.592270067,0.468424257,0.432985777,0.331935106,0.200655697,0.272548095,0.293657154,0.292768644,0.319391704,0.312583822,0.309391587,0.306887573
Ireland,0.646640764,0.617250659,0.577154147,0.553035661,0.535125802,0.482422151,0.468582156,0.438071368,0.414398136,0.39614329,0.359029904,0.349910869,0.313564157,0.294752583,0.278041322,0.258821159,0.228466775,0.217014345,0.21627901,0.21356665,0.202891608,0.173125169,0.167191731,0.157152289,0.142871606
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,0.514141023,0.467484826,0.493813124,0.488046679,0.477624591,0.463309582,0.450030329,0.447391513,0.433873645,0.402956104,0.384619992,0.396630292,0.361151198,0.395126646,0.3439798,0.331228223,0.345012019,0.319957398,0.340695925,0.313190839,0.31340167,0.291206786,0.300957285,0.243480249,0.229497404
